OTU,SITE,Type,Abundance,Class,Order,Family,Genus,Species
ASV253,JER,LA,0.01498041, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,JER,PT,0.00771675, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,JER,CL,0.006961711, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,JER,DA,0.006859756, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,JER,MO,0.00580341, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,VOL,LA,0.006296973, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,VOL,DA,0.00371813, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,VOL,PT,0.003553801, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,VOL,CL,0.002840909, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,VOL,MO,0.001052632, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,WHS,LA,0.020717309, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,WHS,DA,0.010574713, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,WHS,PT,0.009627459, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,WHS,CL,0.006397028, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV253,WHS,MO,0.004639295, Cyanobacteriia,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
ASV28,AMT,LA,0.009069816, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV28,VOL,MO,0, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV303,WHS,DA,0.012183908, Cyanobacteriia,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum
ASV312,AMT,CL,2.32E-04, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,AMT,PT,2.23E-04, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,AMT,DA,1.98E-04, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,AMT,MO,0, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,AMT,LA,0, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,JER,MO,0.005622053, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,JER,DA,0.005335366, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,JER,LA,0.005070293, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,VOL,LA,0.007921999, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,VOL,DA,0.006373938, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,VOL,PT,0.003948667, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,VOL,CL,0.001420455, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV312,VOL,MO,5.26E-04, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum sp.
ASV3249,AMT,LA,4.22E-04, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV3249,AMT,DA,3.96E-04, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV3249,AMT,MO,0, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV3249,AMT,CL,0, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV3249,AMT,PT,0, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV3249,JER,LA,9.22E-04, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV3249,JER,MO,3.63E-04, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV3249,JER,DA,1.91E-04, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
ASV3249,JER,CL,0, Cyanobacteriia,Chroococcidiopsidales,Chroococcidiopsaceae,unclassified Chroococcidiopsaceae cyanobacterium,unclassified Chroococcidiopsaceae cyanobacterium
