OTU,SITE,Type,Abundance,Class,Order,Family,Genus,Species
ASV202,WHS,MO,0.015309673, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Microcoleus paludosus)
ASV202,WHS,LA,0.010024504, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Microcoleus paludosus)
ASV21,JER,MO,0.104461371, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV21,JER,CL,0.101773579, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV21,JER,PT,0.080798911, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV21,JER,DA,0.071265244, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV21,JER,LA,0.056234155, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV21,WHS,MO,0.202505219, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV21,WHS,CL,0.188815518, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV21,WHS,PT,0.172666388, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV21,WHS,LA,0.149699265, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV21,WHS,DA,0.148735632, Cyanobacteriia,Synechococcales,Oculatellaceae,unclassified Oculatellaceae cyanobacterium,unclassified Oculatellaceae cyanobacterium
ASV210,VOL,CL,0.04788961, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV210,VOL,MO,0.035526316, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV210,VOL,PT,0.028430405, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV210,VOL,DA,0.027620397, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV210,VOL,LA,0.024781637, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (Strain SON 60)
ASV224,AMT,MO,0.0223449, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,AMT,CL,0.014401858, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,AMT,DA,0.011082525, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV224,JER,MO,0.015052593, Cyanobacteriia,Synechococcales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya crispata
ASV255,WHS,LA,0.012029405, Cyanobacteriia,Oscillatoriales,Coleofasciculaceae,unclassified Coleofasciculaceae cyanobacterium,unclassified Coleofasciculaceae cyanobacterium (CMT-2BRIN-NPHLC14)
ASV28,AMT,DA,0.087472788, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV28,AMT,PT,0.04611272, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV28,AMT,CL,0.045063879, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV28,AMT,MO,0.042586751, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV28,JER,DA,0.073932927, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
ASV28,JER,LA,0.056464623, Cyanobacteriia,Oscillatoriales,Phormidiaceae,Potamolinea,Potamolinea sp.
